Date,GDP,Wages and salaries,WTI,GSPTSE,USD/CAD,10 year Bonds,Target Rate,Household saving rate,Household disposable income,Exports,Imports,Consumption,Gross fixed capital formation,Population,Median Age,CPI,IPPI,Housing Starts,Unemployment Rate,Retail Sales,Manufacturing Sales
1992-12-03,1086810,344156,21.71,3264.899902,1.277,8.66,7.75,14.6,442316,265963,226548,839140,202337,28371264,33.3,84.3,60.9,164.343,11.4,15983239,23490141
1992-12-04,1086810,344156,21.71,3289.399902,1.2782,8.64,9,14.6,442316,265963,226548,839140,202337,28371264,33.3,84.3,60.9,164.343,11.4,15983239,23490141
1992-12-09,1086810,344156,21.71,3285.5,1.2735,8.63,8.75,14.6,442316,265963,226548,839140,202337,28371264,33.3,84.3,60.9,164.343,11.4,15983239,23490141
1992-12-15,1086810,344156,21.71,3264.600098,1.2772,8.69,7.5,14.6,442316,265963,226548,839140,202337,28371264,33.3,84.3,60.9,164.343,11.4,15983239,23490141
1992-12-17,1086810,344156,21.71,3304.300049,1.2748,8.64,6.75,14.6,442316,265963,226548,839140,202337,28371264,33.3,84.3,60.9,164.343,11.4,15983239,23490141
1992-12-21,1086810,344156,21.71,3310.399902,1.2675,8.51,6.875,14.6,442316,265963,226548,839140,202337,28371264,33.3,84.3,60.9,164.343,11.4,15983239,23490141
1992-12-23,1086810,344156,21.71,3323.199951,1.2605,8.44,6.75,14.6,442316,265963,226548,839140,202337,28371264,33.3,84.3,60.9,164.343,11.4,15983239,23490141
1992-12-24,1086810,344156,21.71,3319.899902,1.2612,8.46,6.8125,14.6,442316,265963,226548,839140,202337,28371264,33.3,84.3,60.9,164.343,11.4,15983239,23490141
1992-12-29,1086810,344156,21.71,3314.899902,1.266,8.49,6.9375,14.6,442316,265963,226548,839140,202337,28371264,33.3,84.3,60.9,164.343,11.4,15983239,23490141
1992-12-30,1086810,344156,21.71,3326.800049,1.2687,8.54,6.625,14.6,442316,265963,226548,839140,202337,28371264,33.3,84.3,60.9,164.343,11.4,15983239,23490141
1992-12-31,1086810,344156,21.71,3350.399902,1.2714,8.54,6.75,14.6,442316,265963,226548,839140,202337,28371264,33.3,84.3,60.9,164.343,11.4,15983239,23490141
1993-01-04,1093765,345380,20.36,3351,1.2782,8.47,7,12.2,435524,273228,221829,845308,193948,28474177,33.6,84.7,61.2,170.465,12.1,16125835,24093241
1993-01-06,1093765,345380,20.36,3353,1.2782,8.54,6.8125,12.2,435524,273228,221829,845308,193948,28474177,33.6,84.7,61.2,170.465,12.1,16125835,24093241
1993-01-07,1093765,345380,20.36,3318.899902,1.2798,8.69,6.8125,12.2,435524,273228,221829,845308,193948,28474177,33.6,84.7,61.2,170.465,12.1,16125835,24093241
1993-01-08,1093765,345380,20.36,3311.800049,1.2825,8.7,6.8125,12.2,435524,273228,221829,845308,193948,28474177,33.6,84.7,61.2,170.465,12.1,16125835,24093241
