"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"CEER_BROADN","Daily Nominal Canadian Effective Exchange Rates","Nominal Canadian Effective Exchange Rate (CEER) (1999=100)"
"CEER_BROADN_XUS","Daily Nominal CEER excluding the U.S. dollar","Nominal Canadian Effective Exchange Rate (CEER) excluding the U.S. dollar  (1999=100)"
"CEER_MCN","Daily Nominal CEER versus Major Currencies","Nominal Canadian Effective Exchange Rate (CEER) versus Major Currencies  (1999=100)"
"CEER_OITPN","Daily Nominal CEER versus Other Important Trading Partners","Nominal Canadian Effective Exchange Rate (CEER) versus Other Important Trading Partners  (1999=100)"

"OBSERVATIONS"
"date","CEER_BROADN","CEER_BROADN_XUS","CEER_MCN","CEER_OITPN"
"1999-01-01","95.43","93.04","95.67","94.15"
"1999-01-04","95.47","92.76","95.75","93.96"
"1999-01-05","95.84","93.07","96.18","94.05"
"1999-01-06","96.66","94.18","97.06","94.56"
"1999-01-07","96.46","93.83","96.82","94.54"
"1999-01-08","96.49","94.07","96.85","94.58"
"1999-01-11","96.87","94.27","97.12","95.56"
"1999-01-12","96.98","94.83","97.19","95.87"
"1999-01-13","96.04","94.39","95.86","97.03"
"1999-01-14","96.05","94.43","95.83","97.21"
"1999-01-15","96.29","94.96","96.06","97.52"
"1999-01-18","96.20","94.82","96.00","97.21"
"1999-01-19","96.18","94.82","95.90","97.70"
"1999-01-20","96.66","95.29","96.38","98.11"
"1999-01-21","97.39","96.23","96.99","99.53"
"1999-01-22","97.22","96.26","96.76","99.71"
"1999-01-25","97.39","96.37","96.91","99.96"
"1999-01-26","97.12","96.24","96.56","100.15"
"1999-01-27","97.29","96.70","96.80","99.91"
"1999-01-28","97.15","96.84","96.63","99.91"
"1999-01-29","98.45","98.29","97.81","101.87"
"1999-02-01","98.28","97.97","97.76","101.04"
"1999-02-02","97.61","96.68","97.21","99.75"
"1999-02-03","97.55","96.65","97.17","99.60"
"1999-02-04","98.89","98.00","98.46","101.15"
"1999-02-05","99.37","98.65","98.95","101.59"
"1999-02-08","99.49","98.93","99.05","101.82"
"1999-02-09","99.17","98.71","98.70","101.72"
"1999-02-10","99.11","98.59","98.66","101.54"
"1999-02-11","99.42","98.89","99.02","101.52"
"1999-02-12","99.17","98.58","98.79","101.17"
"1999-02-15","99.18","98.77","98.85","100.93"
"1999-02-16","99.04","99.00","98.75","100.57"
"1999-02-17","99.09","99.09","98.80","100.60"
"1999-02-18","99.97","100.06","99.70","101.38"
"1999-02-19","100.09","100.71","99.78","101.79"
"1999-02-22","99.68","100.32","99.33","101.52"
"1999-02-23","99.92","100.91","99.51","102.11"
"1999-02-24","99.87","100.99","99.50","101.85"
"1999-02-25","99.15","99.89","98.67","101.72"
"1999-02-26","99.09","99.91","98.63","101.58"
"1999-03-01","98.21","99.20","97.86","100.10"
"1999-03-02","98.53","99.72","98.03","101.20"
"1999-03-03","98.23","99.66","97.73","100.94"
"1999-03-04","98.50","100.17","98.07","100.78"
"1999-03-05","98.84","100.19","98.51","100.58"
"1999-03-08","98.74","99.81","98.45","100.26"
"1999-03-09","98.55","99.48","98.33","99.70"
"1999-03-10","97.83","98.34","97.62","98.92"
"1999-03-11","97.93","98.46","97.74","98.93"
"1999-03-12","97.79","98.24","97.56","99.00"
"1999-03-15","97.45","97.75","97.28","98.37"
"1999-03-16","97.38","97.65","97.24","98.08"
"1999-03-17","97.75","97.95","97.57","98.70"
"1999-03-18","97.81","97.89","97.66","98.57"
"1999-03-19","98.13","98.26","97.99","98.85"
"1999-03-22","98.80","99.14","98.63","99.69"
"1999-03-23","98.78","99.01","98.65","99.47"
"1999-03-24","98.88","99.03","98.73","99.66"
"1999-03-25","98.53","98.77","98.47","98.87"
"1999-03-26","98.58","99.21","98.63","98.30"
"1999-03-29","98.60","99.18","98.70","98.08"
"1999-03-30","98.59","99.15","98.72","97.90"
"1999-03-31","98.57","98.76","98.67","97.99"
"1999-04-01","99.31","99.78","99.43","98.62"
"1999-04-02","99.31","99.78","99.43","98.62"
"1999-04-05","99.62","100.40","99.82","98.60"
"1999-04-06","99.12","99.57","99.25","98.38"
"1999-04-07","99.42","100.04","99.57","98.57"
"1999-04-08","99.41","99.86","99.56","98.64"
"1999-04-09","99.32","99.94","99.43","98.72"
"1999-04-12","99.67","100.05","99.78","99.08"
"1999-04-13","99.94","100.30","100.13","98.92"
"1999-04-14","99.65","99.86","99.84","98.64"
"1999-04-15","99.92","100.29","100.10","98.95"
"1999-04-16","100.19","100.45","100.36","99.25"
"1999-04-19","100.37","100.62","100.67","98.80"
"1999-04-20","99.93","100.23","100.19","98.57"
"1999-04-21","100.10","100.61","100.39","98.60"
"1999-04-22","100.61","101.06","100.94","98.85"
"1999-04-23","100.79","101.05","101.15","98.90"
"1999-04-26","100.69","101.05","101.03","98.86"
"1999-04-27","100.73","101.10","101.06","98.94"
"1999-04-28","100.78","101.04","101.16","98.79"
"1999-04-29","101.45","101.69","101.88","99.21"
"1999-04-30","102.12","102.42","102.57","99.76"
"1999-05-03","102.70","103.11","103.14","100.39"
"1999-05-04","102.53","102.97","102.96","100.26"
"1999-05-05","102.20","102.45","102.55","100.34"
"1999-05-06","102.10","102.20","102.44","100.31"
"1999-05-07","101.94","102.05","102.28","100.17"
"1999-05-10","101.80","101.83","102.18","99.78"
"1999-05-11","102.23","102.37","102.67","99.93"
"1999-05-12","101.92","102.25","102.30","99.89"
"1999-05-13","102.05","102.49","102.49","99.72"
"1999-05-14","101.90","102.52","102.28","99.90"
"1999-05-17","102.16","102.79","102.53","100.18"
"1999-05-18","102.10","102.66","102.52","99.85"
"1999-05-19","101.86","102.64","102.30","99.55"
"1999-05-20","101.91","102.74","102.31","99.79"
"1999-05-21","102.44","103.42","102.83","100.37"
"1999-05-24","102.44","103.42","102.83","100.37"
"1999-05-25","102.48","103.55","102.71","101.26"
"1999-05-26","101.76","103.06","101.95","100.74"
"1999-05-27","101.59","102.91","101.74","100.79"
"1999-05-28","101.82","103.16","101.91","101.29"
"1999-05-31","101.42","102.67","101.60","100.45"
"1999-06-01","101.01","102.31","101.08","100.59"
"1999-06-02","101.35","102.83","101.47","100.73"
"1999-06-03","101.60","103.05","101.79","100.56"
"1999-06-04","102.04","103.48","102.28","100.76"
"1999-06-07","101.74","103.08","102.05","100.13"
"1999-06-08","101.67","102.58","101.93","100.30"
"1999-06-09","101.48","102.34","101.72","100.24"
"1999-06-10","102.28","103.09","102.47","101.28"
"1999-06-11","102.13","102.75","102.31","101.17"
"1999-06-14","102.50","103.60","102.69","101.47"
"1999-06-15","102.17","103.26","102.42","100.82"
"1999-06-16","102.63","103.82","102.95","100.94"
"1999-06-17","102.34","103.32","102.69","100.47"
"1999-06-18","102.11","103.10","102.50","100.07"
"1999-06-21","101.76","103.06","102.14","99.72"
"1999-06-22","101.82","102.97","102.23","99.68"
"1999-06-23","101.71","103.03","102.09","99.72"
"1999-06-24","101.87","103.16","102.17","100.27"
"1999-06-25","102.26","103.35","102.54","100.76"
"1999-06-28","101.92","103.16","102.22","100.33"
"1999-06-29","101.44","102.61","101.80","99.56"
"1999-06-30","101.77","103.04","102.12","99.90"
"1999-07-01","101.77","103.04","102.12","99.90"
"1999-07-02","102.31","103.61","102.71","100.18"
"1999-07-05","102.21","103.67","102.67","99.82"
"1999-07-06","102.10","103.49","102.54","99.81"
"1999-07-07","102.09","103.64","102.49","99.95"
"1999-07-08","102.19","103.86","102.59","100.06"
"1999-07-09","102.00","103.73","102.37","100.01"
"1999-07-12","101.55","103.46","101.86","99.92"
"1999-07-13","101.36","103.10","101.65","99.79"
"1999-07-14","101.28","102.71","101.63","99.42"
"1999-07-15","101.16","102.60","101.50","99.40"
"1999-07-16","101.22","102.74","101.58","99.35"
"1999-07-19","100.44","101.72","100.80","98.57"
"1999-07-20","100.18","101.04","100.49","98.56"
"1999-07-21","99.41","100.06","99.63","98.22"
"1999-07-22","99.30","99.93","99.46","98.44"
"1999-07-23","98.93","99.50","99.08","98.12"
"1999-07-26","98.60","98.91","98.72","97.97"
"1999-07-27","98.36","98.64","98.49","97.65"
"1999-07-28","98.43","98.61","98.60","97.56"
"1999-07-29","98.48","98.42","98.57","97.97"
"1999-07-30","98.54","98.41","98.64","98.00"
"1999-08-02","98.54","98.41","98.64","98.00"
"1999-08-03","99.43","99.48","99.48","99.16"
"1999-08-04","99.58","99.35","99.61","99.43"
"1999-08-05","99.27","99.06","99.23","99.44"
"1999-08-06","98.74","98.67","98.71","98.86"
"1999-08-09","98.92","99.04","98.92","98.87"
"1999-08-10","99.04","99.03","98.97","99.36"
"1999-08-11","99.77","99.93","99.78","99.66"
"1999-08-12","100.19","100.40","100.28","99.72"
"1999-08-13","100.78","101.15","100.84","100.46"
"1999-08-16","100.48","100.78","100.55","100.14"
"1999-08-17","100.66","100.94","100.71","100.35"
"1999-08-18","100.23","100.32","100.27","99.99"
"1999-08-19","99.32","99.10","99.26","99.61"
"1999-08-20","99.37","99.28","99.24","100.04"
"1999-08-23","99.27","99.18","99.32","99.01"
"1999-08-24","99.35","99.40","99.39","99.15"
"1999-08-25","99.39","99.50","99.41","99.25"
"1999-08-26","99.02","99.25","99.07","98.77"
"1999-08-27","99.72","99.95","99.72","99.71"
"1999-08-30","99.68","99.91","99.65","99.83"
"1999-08-31","99.09","98.75","99.03","99.37"
"1999-09-01","99.75","99.40","99.72","99.91"
"1999-09-02","99.08","98.56","98.98","99.56"
"1999-09-03","99.44","99.13","99.41","99.57"
"1999-09-06","99.44","99.13","99.41","99.57"
"1999-09-07","99.37","99.21","99.33","99.53"
"1999-09-08","99.73","99.51","99.69","99.89"
"1999-09-09","99.97","99.39","99.92","100.23"
"1999-09-10","100.58","100.37","100.62","100.39"
"1999-09-13","100.71","100.19","100.67","100.89"
"1999-09-14","100.43","99.86","100.35","100.80"
"1999-09-15","100.16","99.39","100.11","100.45"
"1999-09-16","100.27","99.70","100.13","100.99"
"1999-09-17","100.55","100.21","100.47","100.97"
"1999-09-20","100.13","99.66","100.07","100.41"
"1999-09-21","100.38","99.59","100.29","100.81"
"1999-09-22","100.53","99.58","100.40","101.22"
"1999-09-23","100.19","99.45","100.06","100.90"
"1999-09-24","100.29","99.51","100.09","101.36"
"1999-09-27","100.62","100.10","100.47","101.38"
"1999-09-28","101.06","100.47","100.84","102.21"
"1999-09-29","101.03","100.35","100.82","102.14"
"1999-09-30","100.56","99.82","100.36","101.61"
"1999-10-01","100.20","99.17","99.91","101.73"
"1999-10-04","100.48","99.62","100.21","101.96"
"1999-10-05","100.62","99.83","100.36","102.00"
"1999-10-06","100.59","99.84","100.35","101.86"
"1999-10-07","100.46","99.70","100.21","101.75"
"1999-10-08","100.41","99.83","100.15","101.80"
"1999-10-11","100.41","99.83","100.15","101.80"
"1999-10-12","100.09","99.17","99.81","101.58"
"1999-10-13","99.79","99.05","99.48","101.42"
"1999-10-14","99.72","98.95","99.33","101.82"
"1999-10-15","99.33","98.31","98.84","101.94"
"1999-10-18","98.69","97.67","98.19","101.36"
"1999-10-19","99.00","98.04","98.54","101.43"
"1999-10-20","99.16","98.37","98.75","101.33"
"1999-10-21","99.43","98.53","99.00","101.73"
"1999-10-22","100.11","99.36","99.75","102.05"
"1999-10-25","100.25","99.47","99.85","102.34"
"1999-10-26","100.51","99.84","100.14","102.52"
"1999-10-27","100.59","99.99","100.19","102.70"
"1999-10-28","100.59","100.11","100.23","102.48"
"1999-10-29","100.50","99.86","100.17","102.24"
"1999-11-01","100.76","100.15","100.45","102.43"
"1999-11-02","100.68","99.98","100.39","102.22"
"1999-11-03","100.75","100.15","100.50","102.08"
"1999-11-04","100.97","100.32","100.80","101.88"
"1999-11-05","101.32","100.98","101.20","101.97"
"1999-11-08","100.96","100.66","100.83","101.65"
"1999-11-09","100.45","99.93","100.31","101.17"
"1999-11-10","100.52","99.85","100.37","101.26"
"1999-11-11","100.52","99.85","100.37","101.26"
"1999-11-12","101.38","101.00","101.31","101.73"
"1999-11-15","101.09","100.62","101.01","101.50"
"1999-11-16","100.90","100.59","100.81","101.32"
"1999-11-17","100.87","100.33","100.79","101.27"
"1999-11-18","101.25","100.91","101.21","101.44"
"1999-11-19","101.37","101.05","101.34","101.54"
"1999-11-22","101.27","100.75","101.23","101.50"
