DATE,IRLTLT01CAM156N
1960-01-01,5.54
1960-02-01,5.46
1960-03-01,5.39
1960-04-01,5.29
1960-05-01,5.21
1960-06-01,5.07
1960-07-01,5.08
1960-08-01,4.98
1960-09-01,4.8
1960-10-01,4.96
1960-11-01,5.2
1960-12-01,5.28
1961-01-01,5.27
1961-02-01,5.17
1961-03-01,5.14
1961-04-01,5.21
1961-05-01,5.17
1961-06-01,5.04
1961-07-01,4.95
1961-08-01,4.99
1961-09-01,4.98
1961-10-01,4.97
1961-11-01,4.87
1961-12-01,4.94
1962-01-01,4.96
1962-02-01,4.95
1962-03-01,4.88
1962-04-01,4.81
1962-05-01,4.89
1962-06-01,5.13
1962-07-01,5.41
1962-08-01,5.42
1962-09-01,5.38
1962-10-01,5.19
1962-11-01,5.06
1962-12-01,5.11
1963-01-01,5.1
1963-02-01,5.11
1963-03-01,5.11
1963-04-01,5.01
1963-05-01,4.95
1963-06-01,4.95
1963-07-01,5.06
1963-08-01,5.22
1963-09-01,5.22
1963-10-01,5.07
1963-11-01,5.14
1963-12-01,5.15
1964-01-01,5.17
1964-02-01,5.17
1964-03-01,5.22
1964-04-01,5.24
1964-05-01,5.2
1964-06-01,5.2
1964-07-01,5.21
1964-08-01,5.24
1964-09-01,5.22
1964-10-01,5.19
1964-11-01,5.09
1964-12-01,5.06
1965-01-01,4.98
1965-02-01,5
1965-03-01,5.09
1965-04-01,5.05
1965-05-01,5.08
1965-06-01,5.15
1965-07-01,5.24
1965-08-01,5.3
1965-09-01,5.3
1965-10-01,5.36
1965-11-01,5.42
1965-12-01,5.42
1966-01-01,5.41
1966-02-01,5.54
1966-03-01,5.63
1966-04-01,5.6
1966-05-01,5.6
1966-06-01,5.64
1966-07-01,5.72
1966-08-01,5.88
1966-09-01,5.79
1966-10-01,5.73
1966-11-01,5.82
1966-12-01,5.86
1967-01-01,5.62
1967-02-01,5.57
1967-03-01,5.5
1967-04-01,5.51
1967-05-01,5.72
1967-06-01,5.85
1967-07-01,5.85
1967-08-01,5.92
1967-09-01,6.05
1967-10-01,6.32
1967-11-01,6.39
1967-12-01,6.48
1968-01-01,6.49
1968-02-01,6.69
1968-03-01,6.88
1968-04-01,6.61
1968-05-01,6.81
1968-06-01,6.74
1968-07-01,6.6
1968-08-01,6.45
1968-09-01,6.51
1968-10-01,6.8
1968-11-01,6.93
1968-12-01,7.19
1969-01-01,7.23
1969-02-01,7.16
1969-03-01,7.24
1969-04-01,7.23
1969-05-01,7.38
1969-06-01,7.55
1969-07-01,7.54
1969-08-01,7.51
1969-09-01,7.72
1969-10-01,7.84
1969-11-01,8.03
1969-12-01,8.27
1970-01-01,8.34
1970-02-01,8.21
1970-03-01,8.05
1970-04-01,7.88
1970-05-01,8.18
1970-06-01,8.06
1970-07-01,7.97
1970-08-01,7.99
1970-09-01,7.92
1970-10-01,7.93
1970-11-01,7.8
1970-12-01,7.26
1971-01-01,6.69
1971-02-01,6.81
1971-03-01,6.8
1971-04-01,6.83
1971-05-01,7.19
1971-06-01,7.25
1971-07-01,7.41
1971-08-01,7.34
1971-09-01,7
1971-10-01,6.82
1971-11-01,6.66
1971-12-01,6.54
1972-01-01,6.66
1972-02-01,6.87
1972-03-01,7.07
1972-04-01,7.32
1972-05-01,7.33
1972-06-01,7.39
1972-07-01,7.48
1972-08-01,7.46
1972-09-01,7.48
1972-10-01,7.34
1972-11-01,7.18
1972-12-01,7.12
1973-01-01,7.12
1973-02-01,7.18
1973-03-01,7.3
1973-04-01,7.34
1973-05-01,7.58
1973-06-01,7.76
1973-07-01,7.75
1973-08-01,7.8
1973-09-01,7.82
1973-10-01,7.63
1973-11-01,7.37
1973-12-01,7.69
1974-01-01,7.74
1974-02-01,7.73
1974-03-01,7.92
1974-04-01,8.59
1974-05-01,8.87
1974-06-01,9.26
1974-07-01,9.66
1974-08-01,9.73
1974-09-01,9.76
1974-10-01,9.42
1974-11-01,8.92
1974-12-01,8.84
1975-01-01,8.42
1975-02-01,8.2
1975-03-01,8.26
1975-04-01,8.73
1975-05-01,8.81
1975-06-01,8.8
1975-07-01,9.06
1975-08-01,9.41
1975-09-01,9.7
1975-10-01,9.54
1975-11-01,9.45
1975-12-01,9.54
1976-01-01,9.39
1976-02-01,9.29
1976-03-01,9.47
1976-04-01,9.33
1976-05-01,9.33
1976-06-01,9.32
1976-07-01,9.35
1976-08-01,9.32
1976-09-01,9.14
1976-10-01,9.13
1976-11-01,9.01
1976-12-01,8.67
1977-01-01,8.5
1977-02-01,8.57
1977-03-01,8.76
1977-04-01,8.8
1977-05-01,8.81
1977-06-01,8.74
1977-07-01,8.72
1977-08-01,8.67
1977-09-01,8.57
1977-10-01,8.69
1977-11-01,8.73
1977-12-01,8.76
1978-01-01,8.98
1978-02-01,9.12
1978-03-01,9.15
1978-04-01,9.23
1978-05-01,9.16
