"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"HISTORICAL_CERI","CERI","Canadian-dollar effective exchange rate index (1992=100)"

"OBSERVATIONS"
"date","HISTORICAL_CERI"
"1999-01-01","80.36"
"1999-01-04","80.47"
"1999-01-05","80.84"
"1999-01-06","81.49"
"1999-01-07","81.37"
"1999-01-08","81.35"
"1999-01-11","81.72"
"1999-01-12","81.71"
"1999-01-13","80.70"
"1999-01-14","80.69"
"1999-01-15","80.75"
"1999-01-18","80.68"
"1999-01-19","80.64"
"1999-01-20","81.04"
"1999-01-21","81.55"
"1999-01-22","81.31"
"1999-01-25","81.47"
"1999-01-26","81.16"
"1999-01-27","81.26"
"1999-01-28","81.06"
"1999-01-29","82.06"
"1999-02-01","82.02"
"1999-02-02","81.67"
"1999-02-03","81.63"
"1999-02-04","82.73"
"1999-02-05","83.09"
"1999-02-08","83.13"
"1999-02-09","82.82"
"1999-02-10","82.79"
"1999-02-11","83.06"
"1999-02-12","82.86"
"1999-02-15","82.84"
"1999-02-16","82.65"
"1999-02-17","82.66"
"1999-02-18","83.38"
"1999-02-19","83.36"
"1999-02-22","83.00"
"1999-02-23","83.10"
"1999-02-24","83.05"
"1999-02-25","82.49"
"1999-02-26","82.42"
"1999-03-01","81.68"
"1999-03-02","81.84"
"1999-03-03","81.53"
"1999-03-04","81.73"
"1999-03-05","82.13"
"1999-03-08","82.12"
"1999-03-09","82.03"
"1999-03-10","81.52"
"1999-03-11","81.60"
"1999-03-12","81.49"
"1999-03-15","81.25"
"1999-03-16","81.20"
"1999-03-17","81.51"
"1999-03-18","81.60"
"1999-03-19","81.87"
"1999-03-22","82.38"
"1999-03-23","82.39"
"1999-03-24","82.49"
"1999-03-25","82.21"
"1999-03-26","82.21"
"1999-03-29","82.24"
"1999-03-30","82.25"
"1999-03-31","82.31"
"1999-04-01","82.87"
"1999-04-02","82.87"
"1999-04-05","83.08"
"1999-04-06","82.71"
"1999-04-07","82.92"
"1999-04-08","82.94"
"1999-04-09","82.85"
"1999-04-12","83.19"
"1999-04-13","83.45"
"1999-04-14","83.25"
"1999-04-15","83.45"
"1999-04-16","83.70"
"1999-04-19","83.89"
"1999-04-20","83.49"
"1999-04-21","83.58"
"1999-04-22","84.03"
"1999-04-23","84.23"
"1999-04-26","84.12"
"1999-04-27","84.14"
"1999-04-28","84.23"
"1999-04-29","84.82"
"1999-04-30","85.37"
"1999-05-03","85.82"
"1999-05-04","85.66"
"1999-05-05","85.39"
"1999-05-06","85.34"
"1999-05-07","85.21"
"1999-05-10","85.12"
"1999-05-11","85.48"
"1999-05-12","85.17"
"1999-05-13","85.27"
"1999-05-14","85.09"
"1999-05-17","85.29"
"1999-05-18","85.27"
"1999-05-19","85.02"
"1999-05-20","85.04"
"1999-05-21","85.47"
"1999-05-24","85.47"
"1999-05-25","85.45"
"1999-05-26","84.82"
"1999-05-27","84.68"
"1999-05-28","84.86"
"1999-05-31","84.55"
"1999-06-01","84.18"
"1999-06-02","84.44"
"1999-06-03","84.67"
"1999-06-04","85.05"
"1999-06-07","84.84"
"1999-06-08","84.85"
"1999-06-09","84.71"
"1999-06-10","85.38"
"1999-06-11","85.28"
"1999-06-14","85.49"
"1999-06-15","85.23"
"1999-06-16","85.63"
"1999-06-17","85.42"
"1999-06-18","85.24"
"1999-06-21","84.87"
"1999-06-22","84.97"
"1999-06-23","84.83"
"1999-06-24","84.95"
"1999-06-25","85.31"
"1999-06-28","85.01"
"1999-06-29","84.64"
"1999-06-30","84.90"
"1999-07-01","84.90"
"1999-07-02","85.35"
"1999-07-05","85.25"
"1999-07-06","85.17"
"1999-07-07","85.12"
"1999-07-08","85.17"
"1999-07-09","84.98"
"1999-07-12","84.57"
"1999-07-13","84.44"
"1999-07-14","84.43"
"1999-07-15","84.33"
"1999-07-16","84.37"
"1999-07-19","83.77"
"1999-07-20","83.60"
"1999-07-21","82.96"
"1999-07-22","82.86"
"1999-07-23","82.57"
"1999-07-26","82.32"
