Id,When,Type,Unit,Alberta,ModifiedDate
156211,4/1/1983 12:00:00 AM,WTI,$US/bbl,30.5,2/24/2021 9:00:25 AM
156212,5/1/1983 12:00:00 AM,WTI,$US/bbl,30.16,2/24/2021 9:00:25 AM
156213,6/1/1983 12:00:00 AM,WTI,$US/bbl,30.96,2/24/2021 9:00:25 AM
156214,7/1/1983 12:00:00 AM,WTI,$US/bbl,31.59,2/24/2021 9:00:25 AM
156215,8/1/1983 12:00:00 AM,WTI,$US/bbl,31.88,2/24/2021 9:00:25 AM
156216,9/1/1983 12:00:00 AM,WTI,$US/bbl,31.24,2/24/2021 9:00:25 AM
156217,10/1/1983 12:00:00 AM,WTI,$US/bbl,30.4,2/24/2021 9:00:25 AM
156218,11/1/1983 12:00:00 AM,WTI,$US/bbl,29.86,2/24/2021 9:00:25 AM
156219,12/1/1983 12:00:00 AM,WTI,$US/bbl,29.24,2/24/2021 9:00:25 AM
156220,1/1/1984 12:00:00 AM,WTI,$US/bbl,29.65,2/24/2021 9:00:25 AM
156221,2/1/1984 12:00:00 AM,WTI,$US/bbl,30.05,2/24/2021 9:00:25 AM
156222,3/1/1984 12:00:00 AM,WTI,$US/bbl,30.72,2/24/2021 9:00:25 AM
156223,4/1/1984 12:00:00 AM,WTI,$US/bbl,30.65,2/24/2021 9:00:25 AM
156224,5/1/1984 12:00:00 AM,WTI,$US/bbl,30.55,2/24/2021 9:00:25 AM
156225,6/1/1984 12:00:00 AM,WTI,$US/bbl,29.98,2/24/2021 9:00:25 AM
156226,7/1/1984 12:00:00 AM,WTI,$US/bbl,28.74,2/24/2021 9:00:25 AM
156227,8/1/1984 12:00:00 AM,WTI,$US/bbl,29.33,2/24/2021 9:00:25 AM
156228,9/1/1984 12:00:00 AM,WTI,$US/bbl,29.38,2/24/2021 9:00:25 AM
156229,10/1/1984 12:00:00 AM,WTI,$US/bbl,28.8,2/24/2021 9:00:25 AM
156230,11/1/1984 12:00:00 AM,WTI,$US/bbl,28.11,2/24/2021 9:00:25 AM
156231,12/1/1984 12:00:00 AM,WTI,$US/bbl,26.91,2/24/2021 9:00:25 AM
156232,1/1/1985 12:00:00 AM,WTI,$US/bbl,25.64,2/24/2021 9:00:25 AM
156233,2/1/1985 12:00:00 AM,WTI,$US/bbl,27.14,2/24/2021 9:00:25 AM
156234,3/1/1985 12:00:00 AM,WTI,$US/bbl,28.12,2/24/2021 9:00:25 AM
156235,4/1/1985 12:00:00 AM,WTI,$US/bbl,28.71,2/24/2021 9:00:25 AM
