"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","65018.5","","","","1"
"1997-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","66826.0","","","","1"
"1997-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","70130.7","","","","1"
"1997-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","71838.2","","","","1"
"1998-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","72146.9","","","","1"
"1998-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","72467.1","","","","1"
"1998-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","71377.2","","","","1"
"1998-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","74987.3","","","","1"
"1999-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","75963.7","","","","1"
"1999-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","77190.8","","","","1"
"1999-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","79343.1","","","","1"
"1999-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","83620.0","","","","1"
"2000-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","85250.8","","","","1"
"2000-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","85804.4","","","","1"
"2000-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","86947.2","","","","1"
"2000-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","86165.9","","","","1"
"2001-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","83225.1","","","","1"
"2001-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","82844.5","","","","1"
"2001-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","80924.5","","","","1"
"2001-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","78842.1","","","","1"
"2002-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","79319.2","","","","1"
"2002-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","82843.9","","","","1"
"2002-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","84589.5","","","","1"
"2002-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","84390.2","","","","1"
"2003-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","85013.3","","","","1"
"2003-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","85117.9","","","","1"
