"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","37146","","","","0"
"1961-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","38476","","","","0"
"1961-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","38871","","","","0"
"1961-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","38446","","","","0"
"1962-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","39497","","","","0"
"1962-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","39567","","","","0"
"1962-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","39598","","","","0"
"1962-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","39992","","","","0"
"1963-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","40154","","","","0"
"1963-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","40526","","","","0"
"1963-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","40680","","","","0"
"1963-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","40943","","","","0"
"1964-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","41716","","","","0"
"1964-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","41886","","","","0"
"1964-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","42188","","","","0"
"1964-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","42737","","","","0"
"1965-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","42528","","","","0"
"1965-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","42714","","","","0"
"1965-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","43340","","","","0"
"1965-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","44322","","","","0"
"1966-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Food and non-alcoholic beverages [C11]","Dollars","81","millions","6","v61988958","1.1.1.1","42822","","","","0"
