"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1988-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","17164","","","","0"
"1988-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15625","","","","0"
"1988-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16837","","","","0"
"1988-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14471","","","","0"
"1988-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14262","","","","0"
"1988-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15406","","","","0"
"1988-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12293","","","","0"
"1989-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12783","","","","0"
"1989-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8983","","","","0"
"1989-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11684","","","","0"
"1989-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16041","","","","0"
"1989-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","17342","","","","0"
"1989-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15992","","","","0"
"1989-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14575","","","","0"
"1989-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","13684","","","","0"
"1989-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14274","","","","0"
"1989-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14252","","","","0"
"1989-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","13992","","","","0"
"1989-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12650","","","","0"
"1990-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12209","","","","0"
"1990-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9274","","","","0"
"1990-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12268","","","","0"
"1990-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14934","","","","0"
"1990-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","17479","","","","0"
"1990-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14891","","","","0"
"1990-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12112","","","","0"
"1990-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10233","","","","0"
"1990-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8706","","","","0"
"1990-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9013","","","","0"
"1990-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8283","","","","0"
"1990-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7405","","","","0"
"1991-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","5012","","","","0"
"1991-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","4147","","","","0"
"1991-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","5329","","","","0"
"1991-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9050","","","","0"
"1991-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12878","","","","0"
"1991-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","13091","","","","0"
"1991-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","13216","","","","0"
"1991-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11478","","","","0"
"1991-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10805","","","","0"
"1991-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12663","","","","0"
"1991-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11197","","","","0"
"1991-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9004","","","","0"
"1992-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6783","","","","0"
"1992-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6520","","","","0"
"1992-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8002","","","","0"
"1992-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12210","","","","0"
"1992-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14394","","","","0"
"1992-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","13485","","","","0"
"1992-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","13443","","","","0"
"1992-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10605","","","","0"
"1992-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11037","","","","0"
"1992-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10490","","","","0"
"1992-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10845","","","","0"
"1992-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9594","","","","0"
"1993-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","5702","","","","0"
