"REF_DATE","GEO","DGUID","Type of claim","Claim detail","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997-01","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","242470","","","","0"
"1997-02","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","225850","","","","0"
"1997-03","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","218340","","","","0"
"1997-04","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","251080","","","","0"
"1997-05","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","242460","","","","0"
"1997-06","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","230190","","","","0"
"1997-07","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","211880","","","","0"
"1997-08","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","232760","","","","0"
"1997-09","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","231420","","","","0"
"1997-10","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","225300","","","","0"
"1997-11","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","236980","","","","0"
"1997-12","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","217940","","","","0"
"1998-01","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","233080","","","","0"
"1998-02","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","237920","","","","0"
"1998-03","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","229090","","","","0"
"1998-04","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","227760","","","","0"
"1998-05","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","234010","","","","0"
"1998-06","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","241240","","","","0"
"1998-07","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","244800","","","","0"
"1998-08","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","244000","","","","0"
"1998-09","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","244640","","","","0"
"1998-10","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","236410","","","","0"
"1998-11","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","234520","","","","0"
"1998-12","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","234820","","","","0"
"1999-01","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","225260","","","","0"
"1999-02","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","230750","","","","0"
"1999-03","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","226300","","","","0"
"1999-04","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","221280","","","","0"
"1999-05","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","218900","","","","0"
"1999-06","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","217340","","","","0"
"1999-07","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","216510","","","","0"
"1999-08","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","210800","","","","0"
"1999-09","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","213760","","","","0"
"1999-10","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","218390","","","","0"
"1999-11","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","208050","","","","0"
"1999-12","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","217600","","","","0"
"2000-01","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","210000","","","","0"
"2000-02","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","215390","","","","0"
"2000-03","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","215440","","","","0"
"2000-04","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","210330","","","","0"
"2000-05","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","204960","","","","0"
"2000-06","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","220100","","","","0"
"2000-07","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","209430","","","","0"
"2000-08","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","222310","","","","0"
"2000-09","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","211070","","","","0"
"2000-10","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","213210","","","","0"
"2000-11","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","221930","","","","0"
"2000-12","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","238670","","","","0"
"2001-01","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","227550","","","","0"
"2001-02","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","240990","","","","0"
"2001-03","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","248950","","","","0"
"2001-04","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","241380","","","","0"
"2001-05","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","243610","","","","0"
"2001-06","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","240900","","","","0"
"2001-07","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","234610","","","","0"
"2001-08","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","236600","","","","0"
"2001-09","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","258820","","","","0"
"2001-10","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","263930","","","","0"
"2001-11","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","259170","","","","0"
"2001-12","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","245900","","","","0"
"2002-01","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","246970","","","","0"
"2002-02","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","243540","","","","0"
"2002-03","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","230170","","","","0"
"2002-04","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","242220","","","","0"
"2002-05","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","233220","","","","0"
"2002-06","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","208590","","","","0"
"2002-07","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","237670","","","","0"
"2002-08","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","242040","","","","0"
"2002-09","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","237970","","","","0"
"2002-10","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","244640","","","","0"
"2002-11","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","238360","","","","0"
"2002-12","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","227720","","","","0"
"2003-01","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","256530","","","","0"
"2003-02","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","237160","","","","0"
"2003-03","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","250810","","","","0"
"2003-04","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","247770","","","","0"
"2003-05","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","266250","","","","0"
"2003-06","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","258880","","","","0"
"2003-07","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","258260","","","","0"
"2003-08","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","239440","","","","0"
"2003-09","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","249540","","","","0"
"2003-10","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","241680","","","","0"
"2003-11","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","248350","","","","0"
"2003-12","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","238240","","","","0"
"2004-01","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","240950","","","","0"
"2004-02","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","248210","","","","0"
"2004-03","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","232930","","","","0"
"2004-04","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","235270","","","","0"
"2004-05","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","233960","","","","0"
"2004-06","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","250950","","","","0"
"2004-07","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","232500","","","","0"
"2004-08","Canada","2016A000011124","Initial and renewal claims, seasonally adjusted","Received","Claims","68","units","0","v1992295","1.4.1","238290","","","","0"
