date,GDP,Exports,Imports,Consumption,Gross Fixed Capital Formation,Population,Median Age,Median Market Income,Crime Severity,CPI,IPPI,Housing Starts,Unemployment,Unemployment Searches GT,Avg. Weekly Earnings,Retail,Manufacturing,Jobless,WCS,GSPTSE,CAD/USD,Over 10Y Bond,Target Rate,Savings Rate,Household Disposable Income
1961-01-01,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-02,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-03,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-04,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-05,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-06,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-07,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-08,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-09,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-10,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-11,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-12,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-13,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-14,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-15,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-16,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-17,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-18,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-19,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-20,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-21,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-22,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-23,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-24,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-25,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-26,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-27,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-28,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-29,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-30,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-01-31,343577,44853,38840,,,18009000.0,,,,15.7,13.8,,,,,,,,,,,,,5.4,24872.0
1961-02-01,343577,44853,38840,,,18009000.0,,,,15.7,13.9,,,,,,,,,,,,,5.4,24872.0
1961-02-02,343577,44853,38840,,,18009000.0,,,,15.7,13.9,,,,,,,,,,,,,5.4,24872.0
1961-02-03,343577,44853,38840,,,18009000.0,,,,15.7,13.9,,,,,,,,,,,,,5.4,24872.0
1961-02-04,343577,44853,38840,,,18009000.0,,,,15.7,13.9,,,,,,,,,,,,,5.4,24872.0
1961-02-05,343577,44853,38840,,,18009000.0,,,,15.7,13.9,,,,,,,,,,,,,5.4,24872.0
1961-02-06,343577,44853,38840,,,18009000.0,,,,15.7,13.9,,,,,,,,,,,,,5.4,24872.0
