"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1946-01","Canada","2016A000011124","Persons","249","units","0","v1","1","12188000","","","","0"
"1946-04","Canada","2016A000011124","Persons","249","units","0","v1","1","12241000","","","","0"
"1946-07","Canada","2016A000011124","Persons","249","units","0","v1","1","12316000","","","","0"
"1946-10","Canada","2016A000011124","Persons","249","units","0","v1","1","12393000","","","","0"
"1947-01","Canada","2016A000011124","Persons","249","units","0","v1","1","12450000","","","","0"
"1947-04","Canada","2016A000011124","Persons","249","units","0","v1","1","12507000","","","","0"
"1947-07","Canada","2016A000011124","Persons","249","units","0","v1","1","12576000","","","","0"
"1947-10","Canada","2016A000011124","Persons","249","units","0","v1","1","12646000","","","","0"
"1948-01","Canada","2016A000011124","Persons","249","units","0","v1","1","12710000","","","","0"
"1948-04","Canada","2016A000011124","Persons","249","units","0","v1","1","12773000","","","","0"
"1948-07","Canada","2016A000011124","Persons","249","units","0","v1","1","12852000","","","","0"
"1948-10","Canada","2016A000011124","Persons","249","units","0","v1","1","12930000","","","","0"
"1949-01","Canada","2016A000011124","Persons","249","units","0","v1","1","12998000","","","","0"
"1949-04","Canada","2016A000011124","Persons","249","units","0","v1","1","13399000","","","","0"
"1949-07","Canada","2016A000011124","Persons","249","units","0","v1","1","13475000","","","","0"
"1949-10","Canada","2016A000011124","Persons","249","units","0","v1","1","13548000","","","","0"
"1950-01","Canada","2016A000011124","Persons","249","units","0","v1","1","13607000","","","","0"
"1950-04","Canada","2016A000011124","Persons","249","units","0","v1","1","13663000","","","","0"
"1950-07","Canada","2016A000011124","Persons","249","units","0","v1","1","13737000","","","","0"
"1950-10","Canada","2016A000011124","Persons","249","units","0","v1","1","13807000","","","","0"
"1951-01","Canada","2016A000011124","Persons","249","units","0","v1","1","13870000","","","","0"
"1951-04","Canada","2016A000011124","Persons","249","units","0","v1","1","13937000","","","","0"
"1951-07","Canada","2016A000011124","Persons","249","units","0","v1","1","14050000","","","","0"
"1951-10","Canada","2016A000011124","Persons","249","units","0","v1","1","14163000","","","","0"
"1952-01","Canada","2016A000011124","Persons","249","units","0","v1","1","14277000","","","","0"
"1952-04","Canada","2016A000011124","Persons","249","units","0","v1","1","14376000","","","","0"
"1952-07","Canada","2016A000011124","Persons","249","units","0","v1","1","14496000","","","","0"
"1952-10","Canada","2016A000011124","Persons","249","units","0","v1","1","14598000","","","","0"
"1953-01","Canada","2016A000011124","Persons","249","units","0","v1","1","14682000","","","","0"
"1953-04","Canada","2016A000011124","Persons","249","units","0","v1","1","14763000","","","","0"
"1953-07","Canada","2016A000011124","Persons","249","units","0","v1","1","14886000","","","","0"
"1953-10","Canada","2016A000011124","Persons","249","units","0","v1","1","15001000","","","","0"
"1954-01","Canada","2016A000011124","Persons","249","units","0","v1","1","15105000","","","","0"
"1954-04","Canada","2016A000011124","Persons","249","units","0","v1","1","15199000","","","","0"
"1954-07","Canada","2016A000011124","Persons","249","units","0","v1","1","15330000","","","","0"
"1954-10","Canada","2016A000011124","Persons","249","units","0","v1","1","15444000","","","","0"
"1955-01","Canada","2016A000011124","Persons","249","units","0","v1","1","15535000","","","","0"
"1955-04","Canada","2016A000011124","Persons","249","units","0","v1","1","15620000","","","","0"
"1955-07","Canada","2016A000011124","Persons","249","units","0","v1","1","15736000","","","","0"
"1955-10","Canada","2016A000011124","Persons","249","units","0","v1","1","15834000","","","","0"
"1956-01","Canada","2016A000011124","Persons","249","units","0","v1","1","15919000","","","","0"
"1956-04","Canada","2016A000011124","Persons","249","units","0","v1","1","16004000","","","","0"
"1956-07","Canada","2016A000011124","Persons","249","units","0","v1","1","16123000","","","","0"
"1956-10","Canada","2016A000011124","Persons","249","units","0","v1","1","16235000","","","","0"
"1957-01","Canada","2016A000011124","Persons","249","units","0","v1","1","16352000","","","","0"
"1957-04","Canada","2016A000011124","Persons","249","units","0","v1","1","16479000","","","","0"
"1957-07","Canada","2016A000011124","Persons","249","units","0","v1","1","16677000","","","","0"
"1957-10","Canada","2016A000011124","Persons","249","units","0","v1","1","16810000","","","","0"
"1958-01","Canada","2016A000011124","Persons","249","units","0","v1","1","16907000","","","","0"
"1958-04","Canada","2016A000011124","Persons","249","units","0","v1","1","16997000","","","","0"
"1958-07","Canada","2016A000011124","Persons","249","units","0","v1","1","17120000","","","","0"
"1958-10","Canada","2016A000011124","Persons","249","units","0","v1","1","17225000","","","","0"
"1959-01","Canada","2016A000011124","Persons","249","units","0","v1","1","17318000","","","","0"
"1959-04","Canada","2016A000011124","Persons","249","units","0","v1","1","17406000","","","","0"
"1959-07","Canada","2016A000011124","Persons","249","units","0","v1","1","17522000","","","","0"
"1959-10","Canada","2016A000011124","Persons","249","units","0","v1","1","17624000","","","","0"
"1960-01","Canada","2016A000011124","Persons","249","units","0","v1","1","17710000","","","","0"
"1960-04","Canada","2016A000011124","Persons","249","units","0","v1","1","17793000","","","","0"
"1960-07","Canada","2016A000011124","Persons","249","units","0","v1","1","17909000","","","","0"
"1960-10","Canada","2016A000011124","Persons","249","units","0","v1","1","18009000","","","","0"
"1961-01","Canada","2016A000011124","Persons","249","units","0","v1","1","18092000","","","","0"
"1961-04","Canada","2016A000011124","Persons","249","units","0","v1","1","18172000","","","","0"
"1961-07","Canada","2016A000011124","Persons","249","units","0","v1","1","18271000","","","","0"
"1961-10","Canada","2016A000011124","Persons","249","units","0","v1","1","18363000","","","","0"
"1962-01","Canada","2016A000011124","Persons","249","units","0","v1","1","18442000","","","","0"
"1962-04","Canada","2016A000011124","Persons","249","units","0","v1","1","18519000","","","","0"
"1962-07","Canada","2016A000011124","Persons","249","units","0","v1","1","18614000","","","","0"
"1962-10","Canada","2016A000011124","Persons","249","units","0","v1","1","18708000","","","","0"
"1963-01","Canada","2016A000011124","Persons","249","units","0","v1","1","18787000","","","","0"
"1963-04","Canada","2016A000011124","Persons","249","units","0","v1","1","18864000","","","","0"
"1963-07","Canada","2016A000011124","Persons","249","units","0","v1","1","18964000","","","","0"
"1963-10","Canada","2016A000011124","Persons","249","units","0","v1","1","19061000","","","","0"
"1964-01","Canada","2016A000011124","Persons","249","units","0","v1","1","19142000","","","","0"
"1964-04","Canada","2016A000011124","Persons","249","units","0","v1","1","19222000","","","","0"
"1964-07","Canada","2016A000011124","Persons","249","units","0","v1","1","19325000","","","","0"
"1964-10","Canada","2016A000011124","Persons","249","units","0","v1","1","19420000","","","","0"
"1965-01","Canada","2016A000011124","Persons","249","units","0","v1","1","19501000","","","","0"
"1965-04","Canada","2016A000011124","Persons","249","units","0","v1","1","19578000","","","","0"
"1965-07","Canada","2016A000011124","Persons","249","units","0","v1","1","19678000","","","","0"
"1965-10","Canada","2016A000011124","Persons","249","units","0","v1","1","19777000","","","","0"
"1966-01","Canada","2016A000011124","Persons","249","units","0","v1","1","19857000","","","","0"
"1966-04","Canada","2016A000011124","Persons","249","units","0","v1","1","19939000","","","","0"
"1966-07","Canada","2016A000011124","Persons","249","units","0","v1","1","20048000","","","","0"
"1966-10","Canada","2016A000011124","Persons","249","units","0","v1","1","20146000","","","","0"
"1967-01","Canada","2016A000011124","Persons","249","units","0","v1","1","20228000","","","","0"
"1967-04","Canada","2016A000011124","Persons","249","units","0","v1","1","20306000","","","","0"
"1967-07","Canada","2016A000011124","Persons","249","units","0","v1","1","20412000","","","","0"
"1967-10","Canada","2016A000011124","Persons","249","units","0","v1","1","20509000","","","","0"
"1968-01","Canada","2016A000011124","Persons","249","units","0","v1","1","20581000","","","","0"
"1968-04","Canada","2016A000011124","Persons","249","units","0","v1","1","20644000","","","","0"
"1968-07","Canada","2016A000011124","Persons","249","units","0","v1","1","20729000","","","","0"
"1968-10","Canada","2016A000011124","Persons","249","units","0","v1","1","20814000","","","","0"
"1969-01","Canada","2016A000011124","Persons","249","units","0","v1","1","20888000","","","","0"
"1969-04","Canada","2016A000011124","Persons","249","units","0","v1","1","20950000","","","","0"
"1969-07","Canada","2016A000011124","Persons","249","units","0","v1","1","21028000","","","","0"
"1969-10","Canada","2016A000011124","Persons","249","units","0","v1","1","21111000","","","","0"
"1970-01","Canada","2016A000011124","Persons","249","units","0","v1","1","21182000","","","","0"
"1970-04","Canada","2016A000011124","Persons","249","units","0","v1","1","21244000","","","","0"
"1970-07","Canada","2016A000011124","Persons","249","units","0","v1","1","21324000","","","","0"
"1970-10","Canada","2016A000011124","Persons","249","units","0","v1","1","21400000","","","","0"
"1971-01","Canada","2016A000011124","Persons","249","units","0","v1","1","21465000","","","","0"
"1971-04","Canada","2016A000011124","Persons","249","units","0","v1","1","21523000","","","","0"
"1971-07","Canada","2016A000011124","Persons","249","units","0","v1","1","21962032","","","","0"
"1971-10","Canada","2016A000011124","Persons","249","units","0","v1","1","22039243","","","","0"
"1972-01","Canada","2016A000011124","Persons","249","units","0","v1","1","22092498","","","","0"
"1972-04","Canada","2016A000011124","Persons","249","units","0","v1","1","22148919","","","","0"
"1972-07","Canada","2016A000011124","Persons","249","units","0","v1","1","22218463","","","","0"
"1972-10","Canada","2016A000011124","Persons","249","units","0","v1","1","22288499","","","","0"
"1973-01","Canada","2016A000011124","Persons","249","units","0","v1","1","22347459","","","","0"
"1973-04","Canada","2016A000011124","Persons","249","units","0","v1","1","22405392","","","","0"
"1973-07","Canada","2016A000011124","Persons","249","units","0","v1","1","22491777","","","","0"
"1973-10","Canada","2016A000011124","Persons","249","units","0","v1","1","22570338","","","","0"
"1974-01","Canada","2016A000011124","Persons","249","units","0","v1","1","22649538","","","","0"
"1974-04","Canada","2016A000011124","Persons","249","units","0","v1","1","22723274","","","","0"
"1974-07","Canada","2016A000011124","Persons","249","units","0","v1","1","22807969","","","","0"
"1974-10","Canada","2016A000011124","Persons","249","units","0","v1","1","22907390","","","","0"
"1975-01","Canada","2016A000011124","Persons","249","units","0","v1","1","22979190","","","","0"
"1975-04","Canada","2016A000011124","Persons","249","units","0","v1","1","23048990","","","","0"
"1975-07","Canada","2016A000011124","Persons","249","units","0","v1","1","23143275","","","","0"
"1975-10","Canada","2016A000011124","Persons","249","units","0","v1","1","23240585","","","","0"
"1976-01","Canada","2016A000011124","Persons","249","units","0","v1","1","23304197","","","","0"
"1976-04","Canada","2016A000011124","Persons","249","units","0","v1","1","23369845","","","","0"
"1976-07","Canada","2016A000011124","Persons","249","units","0","v1","1","23449808","","","","0"
"1976-10","Canada","2016A000011124","Persons","249","units","0","v1","1","23533565","","","","0"
"1977-01","Canada","2016A000011124","Persons","249","units","0","v1","1","23591713","","","","0"
"1977-04","Canada","2016A000011124","Persons","249","units","0","v1","1","23656739","","","","0"
"1977-07","Canada","2016A000011124","Persons","249","units","0","v1","1","23725843","","","","0"
"1977-10","Canada","2016A000011124","Persons","249","units","0","v1","1","23801445","","","","0"
"1978-01","Canada","2016A000011124","Persons","249","units","0","v1","1","23849503","","","","0"
"1978-04","Canada","2016A000011124","Persons","249","units","0","v1","1","23903687","","","","0"
"1978-07","Canada","2016A000011124","Persons","249","units","0","v1","1","23963203","","","","0"
"1978-10","Canada","2016A000011124","Persons","249","units","0","v1","1","24025447","","","","0"
