"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","275324","","","","0"
"1961-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","279760","","","","0"
"1961-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","287455","","","","0"
"1961-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","288096","","","","0"
"1962-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","293885","","","","0"
"1962-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","297350","","","","0"
"1962-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","295891","","","","0"
"1962-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","301486","","","","0"
"1963-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","304227","","","","0"
"1963-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","308586","","","","0"
"1963-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","311410","","","","0"
"1963-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","315987","","","","0"
"1964-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","324135","","","","0"
"1964-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","323682","","","","0"
"1964-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","328153","","","","0"
"1964-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","332224","","","","0"
"1965-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","335589","","","","0"
"1965-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","342319","","","","0"
"1965-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","347543","","","","0"
"1965-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","354815","","","","0"
"1966-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","358139","","","","0"
"1966-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","361633","","","","0"
"1966-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","368928","","","","0"
"1966-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","371593","","","","0"
"1967-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","374182","","","","0"
"1967-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","383289","","","","0"
"1967-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","383647","","","","0"
"1967-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","389989","","","","0"
"1968-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","393701","","","","0"
"1968-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","397114","","","","0"
"1968-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","405232","","","","0"
"1968-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","411033","","","","0"
"1969-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","417398","","","","0"
"1969-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","418639","","","","0"
"1969-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","421622","","","","0"
"1969-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","427334","","","","0"
"1970-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","428605","","","","0"
"1970-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","434976","","","","0"
"1970-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","438347","","","","0"
"1970-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","444007","","","","0"
"1971-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","439612","","","","0"
"1971-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","454743","","","","0"
"1971-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","464591","","","","0"
"1971-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","472992","","","","0"
"1972-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","472110","","","","0"
"1972-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","482340","","","","0"
"1972-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","488282","","","","0"
"1972-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","498372","","","","0"
"1973-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","507396","","","","0"
"1973-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","511585","","","","0"
"1973-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","515226","","","","0"
"1973-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","527428","","","","0"
"1974-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","536776","","","","0"
"1974-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","543082","","","","0"
"1974-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","546777","","","","0"
"1974-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","544241","","","","0"
"1975-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","553942","","","","0"
"1975-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","564132","","","","0"
"1975-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","573233","","","","0"
"1975-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","579933","","","","0"
"1976-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","578768","","","","0"
"1976-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","591270","","","","0"
"1976-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","591946","","","","0"
"1976-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","602453","","","","0"
"1977-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","603748","","","","0"
"1977-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","606324","","","","0"
"1977-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","611419","","","","0"
"1977-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","616737","","","","0"
"1978-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","619367","","","","0"
"1978-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","623597","","","","0"
"1978-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","626291","","","","0"
"1978-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","627638","","","","0"
"1979-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","633580","","","","0"
"1979-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","636598","","","","0"
"1979-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","636316","","","","0"
"1979-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","638857","","","","0"
"1980-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","643105","","","","0"
"1980-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","643611","","","","0"
"1980-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","653853","","","","0"
"1980-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","656142","","","","0"
"1981-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Final consumption expenditure","Dollars","81","millions","6","v62305723","1.1.1.1","658323","","","","0"
