"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","33952","","","","0"
"1961-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","34816","","","","0"
"1961-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","35852","","","","0"
"1961-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","36508","","","","0"
"1962-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","37784","","","","0"
"1962-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","37860","","","","0"
"1962-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","38984","","","","0"
"1962-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","39828","","","","0"
"1963-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","40108","","","","0"
"1963-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","40788","","","","0"
"1963-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","41568","","","","0"
"1963-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","43236","","","","0"
"1964-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","44444","","","","0"
"1964-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","45072","","","","0"
"1964-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","46104","","","","0"
"1964-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","46728","","","","0"
"1965-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","48348","","","","0"
"1965-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","49392","","","","0"
"1965-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","50684","","","","0"
"1965-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","52396","","","","0"
"1966-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","54316","","","","0"
"1966-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","56124","","","","0"
"1966-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","56540","","","","0"
"1966-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","57456","","","","0"
"1967-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","58244","","","","0"
"1967-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","59684","","","","0"
"1967-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","60660","","","","0"
"1967-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","61612","","","","0"
"1968-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","63216","","","","0"
"1968-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","65284","","","","0"
"1968-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","67036","","","","0"
"1968-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","68784","","","","0"
"1969-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","70972","","","","0"
"1969-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","72056","","","","0"
"1969-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","73548","","","","0"
"1969-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","75392","","","","0"
"1970-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","76900","","","","0"
"1970-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","77412","","","","0"
"1970-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","79020","","","","0"
"1970-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","79744","","","","0"
"1971-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","80792","","","","0"
"1971-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","84396","","","","0"
"1971-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","87204","","","","0"
"1971-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","89424","","","","0"
"1972-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","91052","","","","0"
"1972-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","94652","","","","0"
"1972-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","96788","","","","0"
"1972-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","100640","","","","0"
"1973-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","105780","","","","0"
"1973-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","110128","","","","0"
"1973-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","113744","","","","0"
"1973-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","120668","","","","0"
"1974-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","126172","","","","0"
"1974-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","131444","","","","0"
"1974-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","136428","","","","0"
"1974-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","137944","","","","0"
"1975-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","139324","","","","0"
"1975-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","144240","","","","0"
"1975-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","151492","","","","0"
"1975-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","156696","","","","0"
"1976-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","163560","","","","0"
"1976-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","172488","","","","0"
"1976-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","173596","","","","0"
"1976-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","177276","","","","0"
"1977-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","182868","","","","0"
"1977-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","186420","","","","0"
"1977-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","190452","","","","0"
"1977-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","195244","","","","0"
"1978-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","199172","","","","0"
"1978-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","205108","","","","0"
"1978-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","210484","","","","0"
"1978-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","215724","","","","0"
"1979-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","222948","","","","0"
"1979-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","234016","","","","0"
"1979-07","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","240804","","","","0"
"1979-10","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","247508","","","","0"
"1980-01","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","253428","","","","0"
"1980-04","Canada","2016A000011124","Seasonally adjusted at annual rates","National disposable income","Dollars","81","millions","6","v62305868","1.1.11","259672","","","","0"
