Category: All categories

Month,unemployment: (Canada)
2004-01,45
2004-02,26
2004-03,36
2004-04,37
2004-05,30
2004-06,41
2004-07,35
2004-08,29
2004-09,29
2004-10,35
2004-11,36
2004-12,31
2005-01,46
2005-02,34
2005-03,28
2005-04,34
2005-05,25
2005-06,40
2005-07,26
2005-08,23
2005-09,34
2005-10,30
2005-11,30
2005-12,27
2006-01,39
2006-02,34
2006-03,29
2006-04,33
2006-05,35
2006-06,34
2006-07,39
2006-08,20
2006-09,37
2006-10,35
2006-11,23
2006-12,27
2007-01,32
2007-02,26
2007-03,28
2007-04,28
2007-05,24
2007-06,24
2007-07,30
2007-08,23
2007-09,29
2007-10,27
2007-11,28
2007-12,24
2008-01,39
2008-02,25
2008-03,29
2008-04,27
2008-05,23
2008-06,24
2008-07,27
2008-08,23
2008-09,29
2008-10,35
2008-11,32
2008-12,37
2009-01,48
2009-02,52
2009-03,53
2009-04,55
2009-05,55
2009-06,51
2009-07,54
2009-08,60
2009-09,59
2009-10,73
2009-11,73
2009-12,65
2010-01,72
2010-02,63
2010-03,75
2010-04,78
2010-05,65
2010-06,75
2010-07,100
2010-08,69
2010-09,58
2010-10,54
2010-11,62
2010-12,70
2011-01,34
2011-02,30
2011-03,27
2011-04,23
2011-05,23
2011-06,27
2011-07,24
2011-08,24
2011-09,28
2011-10,29
2011-11,30
2011-12,28
2012-01,28
2012-02,25
2012-03,27
2012-04,29
2012-05,21
2012-06,22
2012-07,23
2012-08,22
2012-09,23
2012-10,25
2012-11,27
2012-12,21
2013-01,29
2013-02,26
2013-03,22
2013-04,26
2013-05,22
2013-06,21
2013-07,21
2013-08,21
2013-09,22
2013-10,25
2013-11,23
2013-12,19
2014-01,28
2014-02,26
2014-03,25
2014-04,23
2014-05,23
2014-06,23
2014-07,21
2014-08,19
2014-09,20
2014-10,22
2014-11,24
2014-12,22
2015-01,25
2015-02,25
2015-03,28
2015-04,22
2015-05,20
2015-06,21
2015-07,21
2015-08,24
2015-09,22
2015-10,24
2015-11,25
2015-12,22
2016-01,29
2016-02,26
2016-03,28
2016-04,25
2016-05,21
2016-06,20
2016-07,21
2016-08,22
2016-09,22
2016-10,22
2016-11,24
2016-12,22
2017-01,24
2017-02,25
2017-03,25
2017-04,21
2017-05,19
2017-06,19
2017-07,18
2017-08,18
2017-09,19
2017-10,21
2017-11,21
2017-12,19
2018-01,26
2018-02,23
2018-03,20
2018-04,18
2018-05,19
2018-06,20
2018-07,19
2018-08,18
2018-09,17
2018-10,19
2018-11,23
2018-12,20
2019-01,23
2019-02,20
2019-03,21
2019-04,20
2019-05,18
2019-06,18
2019-07,20
2019-08,17
2019-09,18
2019-10,21
2019-11,22
2019-12,20
2020-01,21
2020-02,21
2020-03,91
2020-04,68
2020-05,38
2020-06,33
2020-07,29
2020-08,28
2020-09,25
2020-10,30
2020-11,26
2020-12,23
2021-01,25
2021-02,25
2021-03,25
