"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","20520","","","","0"
"1961-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","20924","","","","0"
"1961-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","21444","","","","0"
"1961-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","21768","","","","0"
"1962-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","22160","","","","0"
"1962-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","22648","","","","0"
"1962-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","23016","","","","0"
"1962-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","23240","","","","0"
"1963-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","23544","","","","0"
"1963-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","24008","","","","0"
"1963-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","24532","","","","0"
"1963-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","25100","","","","0"
"1964-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","25644","","","","0"
"1964-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","26100","","","","0"
"1964-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees - households","Dollars","81","millions","6","v62468791","1.1.1","26944","","","","0"
