date,GDP,Unemployment,CPI,Population,Exports,Imports,Consumption,GSPTSE,Housing Starts,CAD/USD,Median Market Income,Jobless,IPPI,Policy Rate,10Y Bond Yield,Avg. Weekly Earnings,Target Rate,Over 10Y Bond,Gross Fixed Capital Formation,Median Age,Crime Severity,Retail,WCS,Unemployment Searches GT
2005-01-04,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9143.0,8881.0,1.2248,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.8,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-05,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9021.099609,8881.0,1.2236,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.79,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-06,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9064.299805,8881.0,1.2371,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.78,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-07,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9006.200195,8881.0,1.2333,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.81,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-10,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9026.799805,8881.0,1.2194,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.82,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-11,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9020.700195,8881.0,1.2142,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.78,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-12,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9022.700195,8881.0,1.1982,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.77,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-13,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9009.099609,8881.0,1.2005,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.72,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-14,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9057.200195,8881.0,1.2188,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.72,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-18,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9134.799805,8881.0,1.2217,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.71,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-19,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9120.400391,8881.0,1.2268,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.69,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-20,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9089.0,8881.0,1.2334,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.7,356674,38.6,101.33,29888781.0,29.42,46.0
2005-01-21,1160909,7.0,105.3,32076720,118863.1,98889.1,813035,9086.799805,8881.0,1.2211,51300.0,229010.0,78.6,2.75,4.2605,725.52,2.5,4.69,356674,38.6,101.33,29888781.0,29.42,46.0
