date,GDP,Exports,Imports,Consumption,Gross Fixed Capital Formation,Population,Median Age,Median Market Income,Crime Severity,CPI,IPPI,Housing Starts,Unemployment,Unemployment Searches GT,Avg. Weekly Earnings,Retail,Manufacturing,Jobless,WCS,GSPTSE,CAD/USD,Over 10Y Bond,Target Rate
1961-01-01,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-02,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-03,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-04,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-05,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-06,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-07,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-08,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-09,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-10,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-11,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-12,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-13,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-14,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-15,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-16,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-17,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-18,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-19,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-20,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-21,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-22,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-23,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-24,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-25,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-26,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-27,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-28,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
1961-01-29,275324,,,182407,57964,18092000,,,,15.7,13.9,,,,,,,,,,,,
